Configuration,Method,Image-AUROC(%),Pixel-AUROC(%),PRO(%),Threshold,Inference Time(ms)
A,Only Memory Bank,96.11,95.8,97.0,2.3201,68.080
B,Only Diffusion Reconstruction,94.44,93.4,96.98,4.2846,107.64
C,Fixed Weight Fusion,91.39,96.9,90.37,1.882,69.9617
D,Adaptive Weight Fusion,99.72,93.78,91.89,1.8963,72.2831
