Configuration,Method,Image-AUROC(%),Pixel-AUROC(%),PRO(%),Threshold,Inference Time(ms)
A,Only Memory Bank,95.23,96.96,96.13,2.0444,28.61392
B,Only Diffusion Reconstruction,99.11,98.82,96.72,2.0967,88.56
C,Fixed Weight Fusion,97.28,95.47,96.45,1.4213,26.22309
D,Adaptive Weight Fusion,100.0,95.62,94.84,1.4347,25.52591
