Configuration,Method,Image-AUROC(%),Pixel-AUROC(%),PRO(%),Threshold,Inference Time(ms)
A,Only Memory Bank,87.05,97.76,81.21,2.4879,35.27473
B,Only Diffusion Reconstruction,93.78,98.85,98.6,0.7208,67.77
C,Fixed Weight Fusion,95.77,96.8,98.29,2.2081,33.25887
D,Adaptive Weight Fusion,96.25,93.97,99.15,2.1652,36.9641
