Configuration,Method,Image-AUROC(%),Pixel-AUROC(%),PRO(%),Threshold,Inference Time(ms)
A,Only Memory Bank,87.05,98.5,95.5,2.0181,38.76814
B,Only Diffusion Reconstruction,99.04,97.91,94.91,0.3373,77.5
C,Fixed Weight Fusion,93.09,97.68,91.76,1.7211,38.90772
D,Adaptive Weight Fusion,94.16,97.64,90.33,1.7109,38.50553
